gene_id	length	gef_25_S15_NumReads	gef_25_S16_NumReads	gef_25_S27_NumReads	gef_25_S28_NumReads	gef_5_S29_NumReads	gef_5_S30_NumReads	gef_5_S31_NumReads	gef_5_S32_NumReads	lap_25_S1_NumReads	lap_25_S17_NumReads	lap_25_S18_NumReads	lap_25_S2_NumReads	lap_5_S19_NumReads	lap_5_S3_NumReads	lap_5_S4_NumReads	lap_5_S5_NumReads	pel_25_S11_NumReads	pel_25_S12_NumReads	pel_25_S23_NumReads	pel_25_S24_NumReads	pel_5_S13_NumReads	pel_5_S14_NumReads	pel_5_S25_NumReads	pel_5_S26_NumReads	var_25_S20_NumReads	var_25_S6_NumReads	var_25_S7_NumReads	var_25_S8_NumReads	var_5_S10_NumReads	var_5_S21_NumReads	var_5_S22_NumReads	var_5_S9_NumReads	gef_25_S15_TPM	gef_25_S16_TPM	gef_25_S27_TPM	gef_25_S28_TPM	gef_5_S29_TPM	gef_5_S30_TPM	gef_5_S31_TPM	gef_5_S32_TPM	lap_25_S1_TPM	lap_25_S17_TPM	lap_25_S18_TPM	lap_25_S2_TPM	lap_5_S19_TPM	lap_5_S3_TPM	lap_5_S4_TPM	lap_5_S5_TPM	pel_25_S11_TPM	pel_25_S12_TPM	pel_25_S23_TPM	pel_25_S24_TPM	pel_5_S13_TPM	pel_5_S14_TPM	pel_5_S25_TPM	pel_5_S26_TPM	var_25_S20_TPM	var_25_S6_TPM	var_25_S7_TPM	var_25_S8_TPM	var_5_S10_TPM	var_5_S21_TPM	var_5_S22_TPM	var_5_S9_TPM
MTB000011	74	257	519	787	365	1009	297	172	194	236	37	39	122	300	1078	898	715	268	724	71	95	422	433	347	68	199	1145	1130	404	605	85	73	21	298.572956749742	680.595736473552	974.272208000437	426.083038322957	780.757263333173	586.78077623509	379.768216181237	497.050074768564	213.663545363654	80.1527245947489	113.03338504099	234.516959809497	577.937074095206	1230.21888324661	1032.06490889695	1257.19140893679	323.511465282073	806.734335961371	213.553774828955	196.337237550747	379.156816437753	864.011159045558	335.84917226563	232.192528826068	632.40494968504	1187.53797148792	936.832104507694	710.198974624069	889.983220412563	318.582831687119	426.939187378536	36.104681936967
MTB000012	74	16	5	5	5	34	8	10	7	1	1	0	0	2	1	0	2	7	7	2	2	6	6	17	6	3	10	11	4	7	4	3	3	18.5881996420073	6.55679900263538	6.18978531131154	5.83675394962955	26.3089662570148	15.8055427942112	22.0795474523975	17.9347965122678	0.905354005778194	2.16628985391213	0	0	3.85291382730137	1.14120490097088	0	3.51661932569733	8.44992633199444	7.79991761288618	6.01559929095647	4.13341552738415	5.39085521001544	11.9724410029408	16.4537058458666	20.4875760728884	9.53374296007599	10.3715106680167	9.11960455715455	7.03167301607989	10.2973265171702	14.9921332558644	17.5454460566522	5.15781170528101
MTB000013	74	75	46	63	55	143	44	42	49	15	1	2	4	26	42	30	25	45	54	12	15	67	38	100	41	27	66	85	43	85	16	13	63	87.1321858219092	60.3225508242455	77.9912949225254	64.204293445925	110.652416904503	86.9304853681615	92.7340993000696	125.543575585874	13.5803100866729	2.16628985391213	5.79658384825587	7.68908064949169	50.0878797549178	47.930605840777	34.4787831480049	43.9577415712166	54.3209549913928	60.1707930136934	36.0935957457388	31.0006164553811	60.1978831785057	75.8254596852915	96.7865049756859	139.998436498071	85.8036866406839	68.4519704089105	70.4696715780124	75.5904849228588	125.038964851352	59.9685330234577	76.0302662454928	108.314045810901
MTB000014	73	341	148	203	161	387	157	159	164	10	5	2	3	31	71	84	51	229	161	76	91	257	213	254	77	54	238	428	156	265	59	66	151	401.587867950695	196.739897744829	254.747821771293	190.518045358593	303.56010300902	314.432870176619	355.873911403985	425.942642804074	9.17756115446388	10.9798252869519	5.87598910645116	5.8458078910519	60.5382487659544	82.1354869822056	97.8630666885838	90.9022009259022	280.220061882539	181.855613385374	231.724180906433	190.64671343428	234.071425534415	430.843870064731	249.205362674383	266.5255900989	173.958159216729	250.223350527549	359.696283355167	277.991894854885	395.16746184287	224.163197928439	391.287481920955	263.166155227443
MTB000015	73	51	22	38	39	61	20	25	15	16	7	1	3	18	35	54	21	35	36	9	10	51	19	62	25	10	24	30	22	38	8	8	16	60.0615286377873	29.2451199350422	47.686784370981	46.1503339688517	47.8479748928947	40.0551426976585	55.9550175163499	38.9581685491531	14.6840978471422	15.3717554017327	2.93799455322558	5.8458078910519	35.1512412189413	40.4893245686929	62.911971442661	37.4303180283127	42.828393737506	40.6633669681581	27.4410214231302	20.9501882894813	46.4499716041056	38.4320823062436	60.8296554559516	86.5342824996427	32.2144739290239	25.2326067758873	25.2123563099416	39.2039851718427	56.6655228302984	30.3950098886019	47.4287856873885	27.8851555207886
MTB000016	72	2	0	1	0	3	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	1	1	0	0	0	0	0	0	2.38806731511899	0	1.27234475843626	0	2.38586213605281	2.03057320620074	0	0	0.930502728160921	0	0	0	0	0	1.18121757081128	0	0	1.14522599871742	0	0	0	2.05083480142967	1.98950038005577	0	3.26618971780381	1.06596081865728	0	0	0	0	0	0
MTB000017	74	13	8	9	11	25	3	7	11	7	1	1	0	4	9	8	2	8	10	1	5	12	4	25	2	1	11	21	6	6	3	1	10	15.1029122091309	10.4908784042166	11.1416135603608	12.840858689185	19.3448281301579	5.9270785478292	15.4556832166783	28.1832516621351	6.33747804044736	2.16628985391213	2.89829192412794	0	7.70582765460274	10.2708441087379	9.19434217280131	3.51661932569733	9.6570586651365	11.1427394469803	3.00779964547824	10.3335388184604	10.7817104200309	7.98162733529384	24.1966262439215	6.82919202429613	3.17791432002533	11.4086617348184	17.4101541545678	10.5475095241198	8.82627987186013	11.2440999418983	5.84848201888406	17.19270568427
MTB000018	73	12	5	20	10	23	5	2	4	3	0	0	2	5	9	5	4	11	6	0	6	9	6	25	2	6	9	18	6	12	6	1	7	14.1321243853617	6.64661816705504	25.0983075636742	11.8334189663722	18.0410397137144	10.0137856744146	4.47640140130799	10.3888449464408	2.75326834633916	0	0	3.89720526070127	9.76423367192813	10.4115406033782	5.82518254098713	7.12958438634527	13.4603523175019	6.77722782802635	0	12.5701129736888	8.19705381248923	12.1364470440769	24.5280868773999	6.92274259997142	19.3286843574143	9.46222754095774	15.127413785965	10.6919959559571	17.8943756306205	22.7962574164514	5.92859821092357	12.199755540345
MTB000019	1537	104977	33991	196912	206604	63360	121050	39524	23866	346694	198056	461074	353186	118391	701405	670467	534244	44690	173731	227734	149591	125312	39800	46069	70085	121561	431637	699715	252762	78111	183420	58454	159579	5871.77432102334	2146.06889557513	11736.419308569	11611.7575488205	2360.46675248363	11514.420192559	4201.5439479267	2943.98709578696	15112.0229826061	20656.7703608817	64338.4526651119	32687.0522498506	10980.8470229911	38538.1034117408	37099.3187218849	45226.4884036436	2597.30582540064	9320.24110266013	32978.7834029195	14884.7789198478	5420.71944889738	3823.59935392118	2146.74986878101	11521.8511072501	18599.201533239	21553.5363380348	27929.4483705267	21392.8335038856	5532.18244233834	33098.4749597444	16459.4472524117	13209.2396713643
MTB000020	3138	162499	76857	284793	353643	123508	195315	65818	39897	501431	281534	551968	609362	161553	807176	851256	764938	92549	237842	355941	257972	182328	68405	89632	115655	136981	635083	873997	376220	96621	215711	54740	176729	4451.91453888552	2376.75313384133	8314.06992250872	9735.20784567586	2253.7136573584	9099.84105015139	3426.99625278587	2410.5571636755	10705.5352998346	14382.2289139949	37725.4829067883	27622.8556120484	7339.27410422392	21722.5421697926	23071.171192165	31717.6044898438	2634.54362084047	6249.70191939459	25246.7628448778	12572.7541127861	3863.12326355138	3218.83031568175	2045.76938506874	9312.84816191487	10265.5281162788	15532.8549429136	17087.2449095056	15596.2193782751	3351.7896258193	19065.7772625818	7549.64850950121	7165.24144463915
MTB000021	115	519	233	175	173	333	243	170	269	8	1	5	2	14	23	34	6	279	97	84	167	197	306	234	52	20	257	450	266	176	32	23	143	387.988258397246	196.612745049459	139.404730054756	129.951520109839	165.807045142035	308.92964187555	241.531049522749	443.490756985345	4.66060496887557	1.39396042773476	9.32493923415075	2.47387812201037	17.3548640221053	16.889832534369	25.144527072574	6.78860426352006	216.716992609139	69.5500728264559	162.57810953298	222.090213423536	113.895488770442	392.904281261726	145.735227839911	114.255351780398	40.8983755968477	171.517730334211	240.065479646835	300.894460105471	166.59923050885	77.1768946736673	86.5575338794841	158.202792652996
MTB000022	84	20	7	14	19	31	8	5	13	9	2	6	2	8	9	9	11	15	26	7	9	25	8	35	8	6	17	24	11	16	5	3	13	20.4691484153056	8.08671876991697	15.2681371012351	19.5392286980456	21.1319217764677	13.9239305568051	9.72551494927034	29.3423031374177	7.17816390295568	3.81679640927376	15.3195430275334	3.38685695275229	13.576934439062	9.04812457198341	9.11224983197272	17.0388579233192	15.9513915450915	25.5221793999881	18.5480978137825	16.3860401264157	19.7878613859694	14.0628672098034	29.8425057008365	24.0647718951387	16.7975471201339	15.532571929006	17.528590577388	17.035064985384	20.734752714846	16.5091943591364	15.4567024784793	19.6897415098426
MTB000023	74	0	0	1	1	2	2	2	1	1	1	0	0	0	3	3	2	1	0	0	1	1	1	5	1	0	0	5	4	1	4	0	1	0	0	1.23795706226231	1.16735078992591	1.54758625041263	3.9513856985528	4.41590949047951	2.56211378746683	0.905354005778194	2.16628985391213	0	0	0	3.42361470291264	3.44787831480049	3.51661932569733	1.20713233314206	0	0	2.06670776369207	0.898475868335907	1.99540683382346	4.8393252487843	3.41459601214807	0	0	4.14527479870661	7.03167301607989	1.47104664531002	14.9921332558644	0	1.719270568427
MTB000024	74	30	18	12	9	30	7	13	7	11	2	1	3	3	13	13	9	22	21	7	8	20	14	18	6	9	13	30	13	18	2	3	13	34.8528743287637	23.6044764094874	14.8554847471477	10.5061571093332	23.2137937561895	13.8298499449348	28.7034116881168	17.9347965122678	9.95889406356013	4.33257970782427	2.89829192412794	5.76681048711877	5.77937074095206	14.8356637126215	14.9408060308021	15.824786965638	26.5569113291254	23.3997528386586	21.0545975183477	16.5336621095366	17.9695173667181	27.9356956735284	17.4215708956235	20.4875760728884	28.601228880228	13.4829638684218	24.8716487922397	22.8529373022596	26.4788396155804	7.49606662793222	17.5454460566522	22.350517389551
